"Path","Kind","Bytes","Dimensions"
"css/main-2162c32c.css","css","7357",""
"css/main.css","css","10819",""
"css/site.css","css","818",""
"favicon-32.png","image","97","32 x 32"
"favicon.svg","image","11058",""
"img/apple-touch-icon.png","image","72","1 x 1"
"img/favicon-32.png","image","97","32 x 32"
"img/favicon.svg","image","11058",""
"img/hero_1.jpg","image","135613","900 x 675"
"img/logo-128.png","image","8054","128 x 128"
"img/logo-16.png","image","475","16 x 16"
"img/logo-192.png","image","14417","192 x 192"
"img/logo-256.png","image","20695","256 x 256"
"img/logo-32.png","image","1130","32 x 32"
"img/logo-512.png","image","50790","512 x 512"
"img/logo-64.png","image","2971","64 x 64"
"img/logo.png","image","50790","512 x 512"
"img/pooh-home-md.jpg","image","135613","900 x 675"
"img/pooh-home-mobile.jpg","image","63408","427 x 320"
